study;a1;a2;a3;a4;a5;yop;n;r;domain;criterion;z;zexp;nnew;znew;znewexp;vz;newvz
Valentine;Valentine;;;;;1977;36;0.03;Military;Grades;0.030009005;0.030009005;36;0.030009005;0.030009005;0.03030303;
Valentine;Valentine;;;;;1977;42;0.12;Military;Grades;0.120581028;0.120581028;42;0.120581028;0.120581028;0.025641026;
Valentine;Valentine;;;;;1977;43;-0.02;Military;Grades;-0.020002667;-0.020002667;43;-0.020002667;-0.020002667;0.025;
Valentine;Valentine;;;;;1977;43;0.28;Military;Grades;0.287682072;0.287682072;43;0.287682072;0.287682072;0.025;
Valentine;Valentine;;;;;1977;48;0.09;Military;Grades;0.090244188;0.090244188;48;0.090244188;0.090244188;0.022222222;
Valentine;Valentine;;;;;1977;52;0.23;Military;Grades;0.234189467;0.234189467;52;0.234189467;0.234189467;0.020408163;
Valentine;Valentine;;;;;1977;53;0.37;Military;Grades;0.3884231;0.3884231;53;0.3884231;0.3884231;0.02;
Valentine;Valentine;;;;;1977;55;0.27;Military;Grades;0.276863823;0.276863823;55;0.276863823;0.276863823;0.019230769;
Valentine;Valentine;;;;;1977;63;0.13;Military;Grades;0.13073985;0.13073985;63;0.13073985;0.13073985;0.016666667;
Valentine;Valentine;;;;;1977;66;-0.05;Military;Grades;-0.050041729;-0.050041729;66;-0.050041729;-0.050041729;0.015873016;
Valentine;Valentine;;;;;1977;68;0.45;Military;Grades;0.484700279;0.484700279;68;0.484700279;0.484700279;0.015384615;
Valentine;Valentine;;;;;1977;69;0.18;Military;Grades;0.181982689;0.181982689;69;0.181982689;0.181982689;0.015151515;
Valentine;Valentine;;;;;1977;75;0.19;Military;Grades;0.192337169;0.192337169;75;0.192337169;0.192337169;0.013888889;
Valentine;Valentine;;;;;1977;100;0.24;Military;Grades;0.244774113;0.244774113;100;0.244774113;0.244774113;0.010309278;
Valentine;Valentine;;;;;1977;136;0.02;Military;Grades;0.020002667;0.020002667;136;0.02;0.02;0.007518797;
Valentine;Valentine;;;;;1977;154;0.18;Military;Grades;0.181982689;0.181982689;154;0.181982689;0.181982689;0.006622517;
Valentine;Valentine;;;;;1977;160;-0.02;Military;Grades;-0.020002667;-0.020002667;160;-0.020002667;-0.020002667;0.006369427;
Valentine;Valentine;;;;;1977;162;0.08;Military;Grades;0.080171325;0.080171325;162;0.080171325;0.080171325;0.006289308;
Valentine;Valentine;;;;;1977;180;0.26;Military;Grades;0.266108407;0.266108407;180;0.266108407;0.266108407;0.005649718;
Valentine;Valentine;;;;;1977;181;0.3;Military;Grades;0.309519604;0.309519604;181;0.31;0.31;0.005617978;
Valentine;Valentine;;;;;1977;188;0.12;Military;Grades;0.120581028;0.120581028;188;0.120581028;0.120581028;0.005405405;
Valentine;Valentine;;;;;1977;195;0.16;Military;Grades;0.161386696;0.161386696;195;0.161386696;0.161386696;0.005208333;
Valentine;Valentine;;;;;1977;230;0.24;Military;Grades;0.244774113;0.244774113;230;0.244774113;0.244774113;0.004405286;
Valentine;Valentine;;;;;1977;244;0.21;Military;Grades;0.213171347;0.213171347;244;0.213171347;0.213171347;0.004149378;
Valentine;Valentine;;;;;1977;256;0.32;Military;Grades;0.331647109;0.331647109;256;0.331647109;0.331647109;0.003952569;
Valentine;Valentine;;;;;1977;265;0.05;Military;Grades;0.050041729;0.050041729;265;0.050041729;0.050041729;0.003816794;
Valentine;Valentine;;;;;1977;297;0.24;Military;Grades;0.244774113;0.244774113;297;0.244774113;0.244774113;0.003401361;
Valentine;Valentine;;;;;1977;360;0.13;Military;Grades;0.13073985;0.13073985;360;0.13073985;0.13073985;0.00280112;
